Incentive Name,Website Link,State,County,Jurisdiction,Provider,Incentive Type,Technology,Sub-Technology,Product,Product Capacity,Product Eligibility,Incentive Amount,Unit,Incentive Value,Estimated Incentive Value,Application/Eligibility Link,Assumption Type,Assumed Capacity
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 2x4 Luminaires or Integrated Retrofit Kits,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,DLC STANDARD LED Direct Linear Ambient Luminaires or Retrofit kits or ENERGYSTAR Linear Strip Luminaire -≤ 4 ft - Mounted < 10 ft. above floor,Wattage: <= 10W,ENERGY STAR or DLC-listed,$8/unit,,8,400,,Lighting Type 2,900
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,"DLCPREMIUM LEDDirectLinear
AmbientLuminairesorRetrofitkits- ≤ 4 ft
-Mounted<10ft.abovefloor",Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,DLC STANDARD LED Direct Linear Ambient Luminaires or Retrofit Kits or ENERGYSTAR Linear Strip Luminaire ->4ft-Mounted <10 ft above floor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$20/unit,,20,680,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,DLC PREMIUM LED Direct Linear Ambient Luminaires or Retrofit Kits -> 4ft- Mounted <10ft above floor,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior Low-Bay Luminaires or Retrofit Kits -Mounted 10-20ft above floor,Wattage: 50 < W < 150,ENERGY STAR or DLC-listed,$50/unit,,50,250,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits- Mounted >20ft above floor,Wattage: 150 < W < 250,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits-Mounted >20ft above floor,Wattage: > 250,ENERGY STAR or DLC-listed,$110/unit,,110,220,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Bi-Level Stairwell & Corridor Luminaires,Wattage: 50 < W < 150,ENERGY STAR or DLC-listed,$50/unit,,50,250,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits,Wattage: > 250,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires and Bollards LOW OUTPUT,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$60/unit,,60,300,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires HIGH OR VERY HIGH OUTPUT,Lumens: 10000 - 30000,ENERGY STAR or DLC-listed,$185/unit,,185,370,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 1x4 and 2x2 Luminaires or Integrated Retrofit Kits - Standard Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$20/unit,,20,680,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LEDInterior 1x4 and 2x2 Luminaires or Integrated Retrofit Kits Premuim Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 2x4 Luminaires or Integrated Retrofit Kits - Standard Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 2x4 Luminaires or Integrated Retrofit Kits - Premium Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$40/unit,,40,640,,Lighting Type 2,2880
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires ≤ 4ft - Standard Classification - Mounted < 10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires ≤ 4 ft. - Premium Classification -Mounted < 10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires >4ft -Standard Classification - Mounted <10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires >4ft - Premium Classification Mounted <10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$40/unit,,40,640,,Lighting Type 2,2880
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior Low-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted 10-20ft above floor with Integrated Occupancy Sensor,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior Low-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted 10-20ft above floor with Integrated Occupancy Sensor,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: 10001 - 20000,ENERGY STAR or DLC-listed,$90/unit,,90,180,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: 10001 - 20000,ENERGY STAR or DLC-listed,$105/unit,,105,210,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: >20000,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: >20000,ENERGY STAR or DLC-listed,$135/unit,,135,270,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Parking Garage &Fuel Pump Canopy Luminaires and Retrofit Kits -Standard Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits -Premium Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$115/unit,,115,230,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT - Standard Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$60/unit,,60,300,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT -Premium Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Standard Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Premium Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 1x4 and 2x2 Luminaires or Integrated Retrofit Kits - Standard Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$20/unit,,20,680,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 1x4 and 2x2 Luminaires or Integrated Retrofit Kits Premuim Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 2x4 Luminaires or Integrated Retrofit Kits - Standard Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 2x4 Luminaires or Integrated Retrofit Kits - Premium Classification with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$40/unit,,40,640,,Lighting Type 2,2880
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires ≤ 4ft - Standard Classification - Mounted < 10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$15/unit,,15,510,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires ≤ 4 ft - Premium Classification - Mounted <10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$25/unit,,25,850,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires >4ft - Standard Classification - Mounted <10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$30/unit,,30,1020,,Lighting Type 2,1350
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Direct Linear Ambient Luminaires >4ft - Premium Classification Mounted <10ft above floor with Integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$40/unit,,40,640,,Lighting Type 2,2880
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior Low-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted 10-20ft above floor with Integrated Occupancy Sensor,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$65/unit,,65,325,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior Low-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted 10-20ft above floor with Integrated Occupancy Sensor,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: 10001- 20000,ENERGY STAR or DLC-listed,$90/unit,,90,180,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: 10001- 20000,ENERGY STAR or DLC-listed,$105/unit,,105,210,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Standard Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: >20000,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior High-Bay Luminaires or Retrofit Kits - Premium Classification - Mounted >20ft above floor with Integrated Occupancy Sensor,Lumens: >20000,ENERGY STAR or DLC-listed,$135/unit,,135,270,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits - Standard Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Parking Garage & Fuel Pump Canopy Luminaires and Retrofit Kits -Premium Classification with integrated Occupancy/Daylight Sensor,Variable Capacities,ENERGY STAR or DLC-listed,$115/unit,,115,230,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED ExteriorWall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT - Standard Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$60/unit,,60,300,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED ExteriorWall/Pole/Arm Mounted Area and Flood Luminaires LOW OUTPUT - Premium Classification with Dimming Control,Lumens: 250 - 5000,ENERGY STAR or DLC-listed,$80/unit,,80,400,,Lighting Type 2,10000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Standard Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$100/unit,,100,200,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires MID OUTPUT - Premium Classification with Dimming Control,Lumens: 5000 - 10000,ENERGY STAR or DLC-listed,$120/unit,,120,240,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires HIGH OR VERY HIGH OUTPUT - Standard Classification with Dimming Control,Lumens: 10000 - 30000,ENERGY STAR or DLC-listed,$185/unit,,185,370,,Lighting Type 2,25000
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Exterior,LED Exterior Wall/Pole/Arm Mounted Area and Flood Luminaires HIGH OR VERY HIGH OUTPUT - Premium Classification with Dimming Control,Lumens: 10000 - 30000,ENERGY STAR or DLC-listed,$205/unit,,205,410,,Lighting Type 2,25000
Real Time Energy Management (RTEM) Incentive,Link,NY,NY,Utility,National Grid,Discount,Controls,Building Controls,Real Time Energy Management System,Variable Capacities,Average Annual Peak Demand: >300 kW,$0.02/kWh,,0.02,40.5,,Controls Type 1,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 15 < HP < 25,,$250/unit,unit,250,250,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 25 < HP < 50,,$150/unit,unit,150,150,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,High Efficiency Air Compressors,Horsepower: 50 < HP < 250,,$200/unit,unit,200,200,,HVAC Type 4,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Engineered Air Nozzle,1/8”,,$20/Ea,,20,,,,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Engineered Air Nozzle,1/4”,,$20/Ea,,20,,,,
Commercial and Industrial Retrofit Program Upstate New York,Link,NY,NY,Utility,National Grid,Discount,HVAC,Air Compressor,Low Pressure Drop Filters,Variable Capacities,,$5.50/HP,HP,5.5,103.13,,HVAC Type 4,
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Split System & Single Package - Air Cooled,Variable Capacities,NEEP certified,$5/unit,unit,5,6.76,Link,HVAC Type 3,2.5
Commercial Efficiency Programs - Electric,Link,NY,NY,Utility,Orange and Rockland Utilities,Discount,HVAC,Air Conditioners,Split System & Single Package - Water Cooled,Variable Capacities,NEEP certified,$5/unit,unit,5,6.76,Link,HVAC Type 3,2.5
